Model,Year of Production,Number of Engines,Engine Type,Capacity,Range in km,Fuel consumption in (L/hour),Maintenance cost per hour,Age,Sales Region,Price in USD
Boeing 777,2015,2,Turbofan,396,15600,11.72,2581.41,10,Europe,759234162.08
Airbus A320,2006,2,Turbofan,180,6300,5.28,665.07,19,Australia,109400015.17
Airbus A350,2023,2,Turbofan,350,14800,8.92,2802.55,2,Australia,767809713.63
Airbus A320,2019,2,Turbofan,180,6300,7.82,982.27,6,South America,121021584.16
Boeing 777,2005,2,Turbofan,396,15600,6.9,1711.59,20,South America,519257758.1
Boeing 737,1999,2,Turbofan,162,5700,6.19,590.32,26,North America,61730854.91
Airbus A320,2007,2,Turbofan,180,6300,13.58,1038.93,18,South America,95044617.16
Cessna 172,2021,1,Piston,4,1285,37.16,3171.17,4,North America,409979.57
Airbus A350,2008,2,Turbofan,350,14800,8.98,891.14,17,Africa,598384167.08
Boeing 737,1998,2,Turbofan,162,5700,9.42,3406.63,27,South America,54584453.64
Bombardier CRJ200,2020,2,Turbofan,50,3000,3.99,958.02,5,South America,23978996.46
Bombardier CRJ200,1999,2,Turbofan,50,3000,13.66,1280.18,26,Europe,11473000.39
Boeing 737,1995,2,Turbofan,162,5700,7.17,1004.18,30,Africa,63140915.34
Airbus A350,2020,2,Turbofan,350,14800,10.69,1268.99,5,South America,752829008.06
Airbus A320,2004,2,Turbofan,180,6300,9.24,4682.19,21,Africa,80946267.91
Airbus A350,1995,2,Turbofan,350,14800,4.43,3962.72,30,Europe,392546696.51
Bombardier CRJ200,2013,2,Turbofan,50,3000,9.56,1798.84,12,Africa,19192333.83
Boeing 737,2015,2,Turbofan,162,5700,2.67,2896.65,10,Europe,93701411.16
Boeing 737,2009,2,Turbofan,162,5700,3.75,2014.72,16,Europe,100577709.35
Airbus A350,2022,2,Turbofan,350,14800,10.86,1645.88,3,South America,687642213.1
Cessna 172,2018,1,Piston,4,1285,33.83,3921.03,7,North America,289587.62
Airbus A350,2019,2,Turbofan,350,14800,14.08,2069.91,6,Australia,630470065.56
Cessna 172,2007,1,Piston,4,1285,48.6,4237.79,18,South America,301420.66
Airbus A350,2008,2,Turbofan,350,14800,11.63,799.23,17,North America,582112934.19
Airbus A320,2020,2,Turbofan,180,6300,12.34,1128.98,5,North America,151066485.11
Cessna 172,2011,1,Piston,4,1285,16.55,1407.32,14,Australia,337638.96
Airbus A320,1997,2,Turbofan,180,6300,8.8,3493.39,28,Africa,75061979.82
Boeing 737,1998,2,Turbofan,162,5700,13.4,2114.74,27,Europe,71082595.52
Boeing 777,2001,2,Turbofan,396,15600,6.9,2476.11,24,North America,427119287.47
Airbus A350,2001,2,Turbofan,350,14800,6.35,3324.69,24,South America,431109593.34
Airbus A350,2006,2,Turbofan,350,14800,8.93,3290.33,19,Asia,471048132.38
Airbus A320,2006,2,Turbofan,180,6300,12.25,4522.52,19,Africa,98684861.81
Airbus A350,2010,2,Turbofan,350,14800,9.41,650.9,15,Asia,577421569.66
Boeing 777,1999,2,Turbofan,396,15600,12.68,2039.37,26,Africa,427280427.26
Airbus A350,2014,2,Turbofan,350,14800,13.0,997.84,11,Australia,594120521.82
Bombardier CRJ200,2014,2,Turbofan,50,3000,3.95,4087.83,11,South America,17864754.21
Airbus A320,2011,2,Turbofan,180,6300,11.39,1531.63,14,Europe,129466236.98
Boeing 777,2007,2,Turbofan,396,15600,9.06,3622.77,18,Africa,614010567.48
Boeing 737,2004,2,Turbofan,162,5700,6.49,1633.1,21,North America,64693298.87
Bombardier CRJ200,2023,2,Turbofan,50,3000,14.31,2579.03,2,Africa,27762947.01
Airbus A320,2019,2,Turbofan,180,6300,13.34,581.5,6,South America,146047126.22
Boeing 737,2005,2,Turbofan,162,5700,9.35,4694.53,20,South America,85135611.34
Cessna 172,2022,1,Piston,4,1285,16.1,3682.57,3,Asia,428232.23
Boeing 737,2021,2,Turbofan,162,5700,9.89,3093.3,4,Africa,141254483.56
Airbus A320,2009,2,Turbofan,180,6300,14.03,4704.65,16,Europe,107071085.53
Boeing 737,1996,2,Turbofan,162,5700,3.47,2528.78,29,Africa,63813353.76
Boeing 777,2001,2,Turbofan,396,15600,6.36,746.43,24,Africa,400222450.07
Boeing 777,2006,2,Turbofan,396,15600,13.96,2918.28,19,North America,437958676.39
Boeing 737,2010,2,Turbofan,162,5700,6.51,2058.56,15,Asia,90766689.91
Bombardier CRJ200,2014,2,Turbofan,50,3000,7.88,1510.72,11,Asia,23108163.33
Boeing 737,2021,2,Turbofan,162,5700,6.71,4616.81,4,Asia,121181128.84
Boeing 737,1995,2,Turbofan,162,5700,10.22,3112.65,30,Europe,61753364.76
Boeing 737,2019,2,Turbofan,162,5700,14.96,884.07,6,Europe,103845445.3
Airbus A320,2009,2,Turbofan,180,6300,4.48,1423.13,16,Australia,112470037.33
Boeing 777,2003,2,Turbofan,396,15600,2.85,3041.79,22,Europe,451170329.37
Cessna 172,2018,1,Piston,4,1285,28.13,3989.87,7,Australia,282689.65
Boeing 737,1999,2,Turbofan,162,5700,7.31,3398.0,26,South America,60864670.56
Bombardier CRJ200,2004,2,Turbofan,50,3000,4.03,614.24,21,Africa,16373991.26
Cessna 172,2020,1,Piston,4,1285,36.88,1539.84,5,Europe,380685.58
Boeing 737,1999,2,Turbofan,162,5700,5.1,3437.36,26,Australia,69227893.81
Boeing 737,2002,2,Turbofan,162,5700,7.16,4235.99,23,South America,76883649.0
Airbus A350,2022,2,Turbofan,350,14800,4.66,3506.38,3,North America,773021331.36
Boeing 737,2012,2,Turbofan,162,5700,3.11,558.51,13,Australia,95932748.82
Boeing 777,2020,2,Turbofan,396,15600,6.44,4178.5,5,Africa,694805600.74
Airbus A320,2013,2,Turbofan,180,6300,7.32,3308.67,12,Australia,99274678.71
Boeing 777,2019,2,Turbofan,396,15600,14.33,1825.1,6,South America,855652712.33
Airbus A350,2009,2,Turbofan,350,14800,3.82,3936.23,16,Africa,534118029.02
Bombardier CRJ200,2017,2,Turbofan,50,3000,12.4,4525.49,8,North America,23596737.16
Boeing 777,1995,2,Turbofan,396,15600,2.29,2413.46,30,Asia,409818407.35
Boeing 777,2008,2,Turbofan,396,15600,5.35,3350.65,17,Europe,461422903.52
Airbus A350,2016,2,Turbofan,350,14800,12.85,1127.1,9,South America,641564860.28
Bombardier CRJ200,2004,2,Turbofan,50,3000,5.54,1272.56,21,North America,15493434.09
Boeing 737,2011,2,Turbofan,162,5700,13.89,582.76,14,North America,98347881.48
Airbus A320,2011,2,Turbofan,180,6300,9.2,1733.25,14,Europe,107455241.38
Boeing 777,1996,2,Turbofan,396,15600,12.79,3431.39,29,North America,407760050.66
Boeing 777,2018,2,Turbofan,396,15600,10.65,3202.33,7,Australia,785971272.16
Boeing 777,2015,2,Turbofan,396,15600,13.89,1289.17,10,Asia,544977174.07
Airbus A320,2006,2,Turbofan,180,6300,11.59,1248.28,19,Africa,105368168.72
Cessna 172,1995,1,Piston,4,1285,25.57,1604.07,30,Australia,197558.76
Airbus A350,2021,2,Turbofan,350,14800,6.62,1799.12,4,Australia,645087606.91
Airbus A350,2008,2,Turbofan,350,14800,8.19,3048.82,17,Asia,576163451.64
Boeing 737,1998,2,Turbofan,162,5700,14.18,3486.52,27,Europe,58012610.13
Airbus A350,1995,2,Turbofan,350,14800,5.41,640.32,30,North America,398390192.32
Bombardier CRJ200,2017,2,Turbofan,50,3000,2.67,3177.85,8,North America,26692691.66
Airbus A350,2015,2,Turbofan,350,14800,12.02,2004.1,10,South America,619483252.81
Boeing 777,2007,2,Turbofan,396,15600,2.98,979.69,18,Australia,538818025.72
Cessna 172,2001,1,Piston,4,1285,27.39,3597.81,24,North America,281728.9
Bombardier CRJ200,2009,2,Turbofan,50,3000,12.65,1608.81,16,North America,18487630.58
Boeing 777,1996,2,Turbofan,396,15600,9.67,1724.65,29,Europe,436247697.61
Boeing 737,2014,2,Turbofan,162,5700,9.04,1333.1,11,Australia,110533528.62
Bombardier CRJ200,2010,2,Turbofan,50,3000,13.04,3615.24,15,North America,19802463.23
Bombardier CRJ200,2017,2,Turbofan,50,3000,8.36,1623.51,8,South America,22165024.64
Cessna 172,1998,1,Piston,4,1285,32.72,1312.59,27,Asia,218139.71
Airbus A320,1998,2,Turbofan,180,6300,2.44,4619.7,27,Europe,69889599.06
Boeing 737,2014,2,Turbofan,162,5700,8.16,4749.2,11,Europe,104368669.52
Cessna 172,1998,1,Piston,4,1285,33.85,666.53,27,Australia,204416.15
Airbus A320,2020,2,Turbofan,180,6300,11.05,846.29,5,Africa,142763723.81
Boeing 777,2010,2,Turbofan,396,15600,12.28,2927.71,15,Africa,562544947.36
Airbus A350,2001,2,Turbofan,350,14800,10.14,1934.39,24,Europe,428130328.68
Boeing 737,1996,2,Turbofan,162,5700,2.32,1548.32,29,Africa,69105297.56
Bombardier CRJ200,2023,2,Turbofan,50,3000,6.56,4990.7,2,Asia,22900748.39
Boeing 737,2015,2,Turbofan,162,5700,11.59,2396.11,10,Africa,122107209.71
Cessna 172,2018,1,Piston,4,1285,14.42,1574.5,7,South America,332946.55
Airbus A320,2013,2,Turbofan,180,6300,5.04,1833.39,12,Africa,113859544.42
Airbus A350,2008,2,Turbofan,350,14800,2.23,689.42,17,North America,519435174.18
Cessna 172,2007,1,Piston,4,1285,37.19,2229.47,18,North America,297440.98
Cessna 172,2019,1,Piston,4,1285,48.0,1482.14,6,Asia,431915.17
Airbus A350,2008,2,Turbofan,350,14800,14.6,760.29,17,Australia,595285903.78
Cessna 172,2010,1,Piston,4,1285,16.16,3632.09,15,North America,298226.62
Bombardier CRJ200,1998,2,Turbofan,50,3000,9.54,3168.23,27,Australia,10244738.98
Airbus A320,1996,2,Turbofan,180,6300,14.42,4499.37,29,Australia,75322787.62
Cessna 172,2022,1,Piston,4,1285,42.38,4379.57,3,Europe,446438.18
Airbus A320,2021,2,Turbofan,180,6300,5.38,2177.1,4,Europe,149954427.31
Cessna 172,2016,1,Piston,4,1285,33.7,2662.64,9,North America,411247.75
Bombardier CRJ200,1999,2,Turbofan,50,3000,13.42,1701.63,26,Australia,14877095.06
Airbus A350,1997,2,Turbofan,350,14800,10.56,4088.42,28,South America,402864405.4
Cessna 172,2011,1,Piston,4,1285,37.21,3638.62,14,Africa,341303.71
Boeing 737,2018,2,Turbofan,162,5700,11.79,3283.75,7,Asia,112318556.86
Airbus A350,2000,2,Turbofan,350,14800,11.67,2008.03,25,South America,408001204.03
Airbus A320,2023,2,Turbofan,180,6300,5.73,528.74,2,South America,176757814.93
Boeing 777,2016,2,Turbofan,396,15600,9.02,3353.03,9,Asia,734870703.44
Airbus A320,2010,2,Turbofan,180,6300,3.39,4009.3,15,South America,118866261.78
Bombardier CRJ200,2008,2,Turbofan,50,3000,6.44,4833.46,17,North America,19571684.77
Airbus A320,2017,2,Turbofan,180,6300,14.12,3346.8,8,Africa,131758102.52
Bombardier CRJ200,2011,2,Turbofan,50,3000,11.21,1854.34,14,Asia,18710232.77
Airbus A350,2002,2,Turbofan,350,14800,9.57,803.08,23,Africa,483499667.07
Boeing 777,2000,2,Turbofan,396,15600,13.33,705.84,25,Australia,363983558.24
Airbus A350,2011,2,Turbofan,350,14800,2.32,3912.18,14,North America,587268295.17
Bombardier CRJ200,2005,2,Turbofan,50,3000,6.21,599.56,20,South America,17875673.94
Boeing 737,2009,2,Turbofan,162,5700,7.8,3574.83,16,Asia,90781164.94
Boeing 777,1996,2,Turbofan,396,15600,14.96,1731.32,29,North America,340010547.51
Boeing 737,2005,2,Turbofan,162,5700,12.33,1236.31,20,South America,63367888.47
Boeing 737,2022,2,Turbofan,162,5700,4.87,3621.57,3,South America,127413480.15
Airbus A350,2006,2,Turbofan,350,14800,5.55,3445.3,19,Asia,463735696.84
Airbus A320,2013,2,Turbofan,180,6300,3.96,4778.89,12,North America,133529410.72
Cessna 172,2011,1,Piston,4,1285,35.54,2388.77,14,Australia,321604.64
Boeing 777,2015,2,Turbofan,396,15600,4.99,4523.45,10,Europe,684189255.61
Boeing 777,2008,2,Turbofan,396,15600,2.4,1458.97,17,Australia,486950793.63
Bombardier CRJ200,2018,2,Turbofan,50,3000,4.41,4856.87,7,Europe,22479913.54
Boeing 737,2009,2,Turbofan,162,5700,3.63,1027.89,16,Asia,85200995.59
Bombardier CRJ200,1998,2,Turbofan,50,3000,9.57,788.94,27,South America,13090077.09
Bombardier CRJ200,1997,2,Turbofan,50,3000,7.92,1896.63,28,Africa,11286956.54
Airbus A350,2010,2,Turbofan,350,14800,2.94,552.29,15,Europe,526105056.35
Airbus A350,2015,2,Turbofan,350,14800,5.79,3200.09,10,Europe,473880075.09
Boeing 777,2006,2,Turbofan,396,15600,8.49,1141.23,19,North America,603705999.54
Cessna 172,1997,1,Piston,4,1285,10.39,3018.42,28,Asia,232450.75
Boeing 777,1999,2,Turbofan,396,15600,8.73,1969.08,26,South America,403263641.93
Cessna 172,2022,1,Piston,4,1285,13.14,649.41,3,Africa,390289.51
Airbus A320,2008,2,Turbofan,180,6300,3.73,2286.15,17,South America,129426744.2
Airbus A350,2002,2,Turbofan,350,14800,4.6,4102.64,23,North America,459564319.05
Cessna 172,2014,1,Piston,4,1285,14.18,1253.67,11,Africa,399513.55
Airbus A350,2000,2,Turbofan,350,14800,14.17,642.14,25,Europe,439281508.67
Bombardier CRJ200,1995,2,Turbofan,50,3000,9.04,733.87,30,South America,12918104.65
Boeing 737,2000,2,Turbofan,162,5700,12.59,2027.53,25,Australia,77565461.23
Airbus A350,2004,2,Turbofan,350,14800,10.37,2535.43,21,Africa,470795089.56
Bombardier CRJ200,2021,2,Turbofan,50,3000,11.51,2868.81,4,Europe,21673752.5
Cessna 172,2017,1,Piston,4,1285,23.48,4891.39,8,North America,395779.06
Boeing 737,2008,2,Turbofan,162,5700,8.48,3464.18,17,Asia,83746656.77
Cessna 172,2009,1,Piston,4,1285,38.77,2999.14,16,Asia,308899.5
Airbus A350,1996,2,Turbofan,350,14800,11.45,4407.23,29,North America,310192361.77
Cessna 172,2005,1,Piston,4,1285,27.02,3842.18,20,Australia,240008.47
Boeing 737,2001,2,Turbofan,162,5700,2.52,4944.42,24,Australia,60666863.35
Cessna 172,2004,1,Piston,4,1285,33.15,4401.64,21,North America,309612.09
Bombardier CRJ200,2011,2,Turbofan,50,3000,13.35,2690.01,14,South America,17511763.82
Boeing 737,2019,2,Turbofan,162,5700,7.48,4553.16,6,Asia,124382800.41
Airbus A320,2020,2,Turbofan,180,6300,4.74,4605.64,5,Australia,124095241.28
Boeing 737,2007,2,Turbofan,162,5700,13.82,3721.21,18,Asia,89721217.34
Airbus A320,1999,2,Turbofan,180,6300,13.32,1612.54,26,Asia,91052472.45
Boeing 737,2000,2,Turbofan,162,5700,8.69,2503.87,25,Asia,76409741.39
Boeing 777,2002,2,Turbofan,396,15600,7.08,1235.86,23,North America,380959219.67
Cessna 172,2006,1,Piston,4,1285,15.23,3980.63,19,South America,314831.13
Airbus A350,2019,2,Turbofan,350,14800,5.23,2438.99,6,Australia,787873764.4
Airbus A320,2011,2,Turbofan,180,6300,4.18,1251.69,14,South America,129235354.96
Bombardier CRJ200,1996,2,Turbofan,50,3000,12.47,4298.77,29,Africa,14582673.19
Boeing 777,2022,2,Turbofan,396,15600,13.29,3134.09,3,Asia,759072292.02
Airbus A350,1998,2,Turbofan,350,14800,2.74,1713.87,27,Australia,365006071.14
Airbus A350,2002,2,Turbofan,350,14800,8.59,1922.7,23,South America,428401094.71
Boeing 777,2020,2,Turbofan,396,15600,3.93,687.08,5,Africa,815942990.51
Bombardier CRJ200,1996,2,Turbofan,50,3000,8.7,2546.33,29,Africa,12493384.83
Airbus A350,2016,2,Turbofan,350,14800,3.22,4864.6,9,North America,600439190.08
Cessna 172,1998,1,Piston,4,1285,17.09,4406.64,27,Australia,254604.52
Airbus A350,1997,2,Turbofan,350,14800,10.03,2737.29,28,Asia,385904600.31
Cessna 172,2023,1,Piston,4,1285,32.82,4410.07,2,Australia,474653.29
Boeing 737,2018,2,Turbofan,162,5700,10.57,1470.54,7,Australia,127786656.02
Airbus A350,1998,2,Turbofan,350,14800,10.47,2272.39,27,Europe,383584117.72
Cessna 172,2002,1,Piston,4,1285,11.93,4997.36,23,Europe,229195.61
Boeing 777,2023,2,Turbofan,396,15600,11.6,3051.57,2,Australia,828711118.2
Bombardier CRJ200,2023,2,Turbofan,50,3000,7.25,4453.32,2,Europe,27022571.23
Boeing 777,2000,2,Turbofan,396,15600,7.83,2248.51,25,Australia,393019822.39
Airbus A320,2014,2,Turbofan,180,6300,8.03,3287.71,11,North America,141489134.58
Cessna 172,2012,1,Piston,4,1285,44.53,2209.04,13,North America,250050.45
Airbus A320,1996,2,Turbofan,180,6300,6.44,615.39,29,Africa,96312870.73
